study,tissue,filepath,qtl_type
BrainMeta,DLPFC,BrainMeta/eQTL/DLPFC/DLPFC_eQTL.txt,eQTL
eQTLgen,blood,eQTLgen/eQTL/blood/blood_eQTL.csv,eQTL
kosoy,microglia,kosoy/eQTL/microglia/microglia_eQTL.txt,eQTL
eQTL_catalogue,adipose,eQTL_catalogue/eQTL/adipose/adipose_eQTL.tsv.gz,eQTL
eQTL_catalogue,adipose_visceral,eQTL_catalogue/eQTL/adipose_visceral/adipose_visceral_eQTL.tsv.gz,eQTL
eQTL_catalogue,adrenal_gland,eQTL_catalogue/eQTL/adrenal_gland/adrenal_gland_eQTL.tsv.gz,eQTL
eQTL_catalogue,amygdala,eQTL_catalogue/eQTL/amygdala/amygdala_eQTL.tsv.gz,eQTL
eQTL_catalogue,anterior_cingulate_cortex,eQTL_catalogue/eQTL/anterior_cingulate_cortex/anterior_cingulate_cortex_eQTL.tsv.gz,eQTL
eQTL_catalogue,aorta,eQTL_catalogue/eQTL/aorta/aorta_eQTL.tsv.gz,eQTL
eQTL_catalogue,atrial_appendage,eQTL_catalogue/eQTL/atrial_appendage/atrial_appendage_eQTL.tsv.gz,eQTL
eQTL_catalogue,blood,eQTL_catalogue/eQTL/blood/blood_eQTL.tsv.gz,eQTL
eQTL_catalogue,blueprint_monocytes,eQTL_catalogue/eQTL/blueprint_monocytes/blueprint_monocytes_eQTL.tsv.gz,eQTL
eQTL_catalogue,braineac_putamen,eQTL_catalogue/eQTL/braineac_putamen/braineac_putamen_eQTL.tsv.gz,eQTL
eQTL_catalogue,braineac_substantia_nigra,eQTL_catalogue/eQTL/braineac_substantia_nigra/braineac_substantia_nigra_eQTL.tsv.gz,eQTL
eQTL_catalogue,breast,eQTL_catalogue/eQTL/breast/breast_eQTL.tsv.gz,eQTL
eQTL_catalogue,caudate,eQTL_catalogue/eQTL/caudate/caudate_eQTL.tsv.gz,eQTL
eQTL_catalogue,cedar_monocytes,eQTL_catalogue/eQTL/cedar_monocytes/cedar_monocytes_eQTL.tsv.gz,eQTL
eQTL_catalogue,cerebellar_hemisphere,eQTL_catalogue/eQTL/cerebellar_hemisphere/cerebellar_hemisphere_eQTL.tsv.gz,eQTL
eQTL_catalogue,cerebellum,eQTL_catalogue/eQTL/cerebellum/cerebellum_eQTL.tsv.gz,eQTL
eQTL_catalogue,commonmind_dlpfc,eQTL_catalogue/eQTL/commonmind_dlpfc/commonmind_dlpfc_eQTL.tsv.gz,eQTL
eQTL_catalogue,coronary_artery,eQTL_catalogue/eQTL/coronary_artery/coronary_artery_eQTL.tsv.gz,eQTL
eQTL_catalogue,cortex,eQTL_catalogue/eQTL/cortex/cortex_eQTL.tsv.gz,eQTL
eQTL_catalogue,esophagus_gej,eQTL_catalogue/eQTL/esophagus_gej/esophagus_gej_eQTL.tsv.gz,eQTL
eQTL_catalogue,esophagus_mucosa,eQTL_catalogue/eQTL/esophagus_mucosa/esophagus_mucosa_eQTL.tsv.gz,eQTL
eQTL_catalogue,esophagus_muscularis,eQTL_catalogue/eQTL/esophagus_muscularis/esophagus_muscularis_eQTL.tsv.gz,eQTL
eQTL_catalogue,fairfax_monocytes_ifn24,eQTL_catalogue/eQTL/fairfax_monocytes_ifn24/fairfax_monocytes_ifn24_eQTL.tsv.gz,eQTL
eQTL_catalogue,fairfax_monocytes_lps2,eQTL_catalogue/eQTL/fairfax_monocytes_lps2/fairfax_monocytes_lps2_eQTL.tsv.gz,eQTL
eQTL_catalogue,fairfax_monocytes_lps24,eQTL_catalogue/eQTL/fairfax_monocytes_lps24/fairfax_monocytes_lps24_eQTL.tsv.gz,eQTL
eQTL_catalogue,fairfax_monocytes_naive,eQTL_catalogue/eQTL/fairfax_monocytes_naive/fairfax_monocytes_naive_eQTL.tsv.gz,eQTL
eQTL_catalogue,fibroblast,eQTL_catalogue/eQTL/fibroblast/fibroblast_eQTL.tsv.gz,eQTL
eQTL_catalogue,frontal_cortex,eQTL_catalogue/eQTL/frontal_cortex/frontal_cortex_eQTL.tsv.gz,eQTL
eQTL_catalogue,hippocampus,eQTL_catalogue/eQTL/hippocampus/hippocampus_eQTL.tsv.gz,eQTL
eQTL_catalogue,hypothalamus,eQTL_catalogue/eQTL/hypothalamus/hypothalamus_eQTL.tsv.gz,eQTL
eQTL_catalogue,kasela_tcells_cd4,eQTL_catalogue/eQTL/kasela_tcells_cd4/kasela_tcells_cd4_eQTL.tsv.gz,eQTL
eQTL_catalogue,kasela_tcells_cd8,eQTL_catalogue/eQTL/kasela_tcells_cd8/kasela_tcells_cd8_eQTL.tsv.gz,eQTL
eQTL_catalogue,kidney,eQTL_catalogue/eQTL/kidney/kidney_eQTL.tsv.gz,eQTL
eQTL_catalogue,lcl,eQTL_catalogue/eQTL/lcl/lcl_eQTL.tsv.gz,eQTL
eQTL_catalogue,left_ventricle,eQTL_catalogue/eQTL/left_ventricle/left_ventricle_eQTL.tsv.gz,eQTL
eQTL_catalogue,liver,eQTL_catalogue/eQTL/liver/liver_eQTL.tsv.gz,eQTL
eQTL_catalogue,lung,eQTL_catalogue/eQTL/lung/lung_eQTL.tsv.gz,eQTL
eQTL_catalogue,muscle,eQTL_catalogue/eQTL/muscle/muscle_eQTL.tsv.gz,eQTL
eQTL_catalogue,nedelec_lysteria,eQTL_catalogue/eQTL/nedelec_lysteria/nedelec_lysteria_eQTL.tsv.gz,eQTL
eQTL_catalogue,nedelec_naive,eQTL_catalogue/eQTL/nedelec_naive/nedelec_naive_eQTL.tsv.gz,eQTL
eQTL_catalogue,nedelec_salmonella,eQTL_catalogue/eQTL/nedelec_salmonella/nedelec_salmonella_eQTL.tsv.gz,eQTL
eQTL_catalogue,nucleus_accumbens,eQTL_catalogue/eQTL/nucleus_accumbens/nucleus_accumbens_eQTL.tsv.gz,eQTL
eQTL_catalogue,ovary,eQTL_catalogue/eQTL/ovary/ovary_eQTL.tsv.gz,eQTL
eQTL_catalogue,pancreas,eQTL_catalogue/eQTL/pancreas/pancreas_eQTL.tsv.gz,eQTL
eQTL_catalogue,pituitary,eQTL_catalogue/eQTL/pituitary/pituitary_eQTL.tsv.gz,eQTL
eQTL_catalogue,prostate,eQTL_catalogue/eQTL/prostate/prostate_eQTL.tsv.gz,eQTL
eQTL_catalogue,putamen,eQTL_catalogue/eQTL/putamen/putamen_eQTL.tsv.gz,eQTL
eQTL_catalogue,quach_IAV,eQTL_catalogue/eQTL/quach_IAV/quach_IAV_eQTL.tsv.gz,eQTL
eQTL_catalogue,quach_LPS,eQTL_catalogue/eQTL/quach_LPS/quach_LPS_eQTL.tsv.gz,eQTL
eQTL_catalogue,quach_naive,eQTL_catalogue/eQTL/quach_naive/quach_naive_eQTL.tsv.gz,eQTL
eQTL_catalogue,quach_Pam3CSK4,eQTL_catalogue/eQTL/quach_Pam3CSK4/quach_Pam3CSK4_eQTL.tsv.gz,eQTL
eQTL_catalogue,quach_R848,eQTL_catalogue/eQTL/quach_R848/quach_R848_eQTL.tsv.gz,eQTL
eQTL_catalogue,salivary_gland,eQTL_catalogue/eQTL/salivary_gland/salivary_gland_eQTL.tsv.gz,eQTL
eQTL_catalogue,sigmoid_colon,eQTL_catalogue/eQTL/sigmoid_colon/sigmoid_colon_eQTL.tsv.gz,eQTL
eQTL_catalogue,skin_exposed,eQTL_catalogue/eQTL/skin_exposed/skin_exposed_eQTL.tsv.gz,eQTL
eQTL_catalogue,skin_non_exposed,eQTL_catalogue/eQTL/skin_non_exposed/skin_non_exposed_eQTL.tsv.gz,eQTL
eQTL_catalogue,small_intestine,eQTL_catalogue/eQTL/small_intestine/small_intestine_eQTL.tsv.gz,eQTL
eQTL_catalogue,spinal_cord,eQTL_catalogue/eQTL/spinal_cord/spinal_cord_eQTL.tsv.gz,eQTL
eQTL_catalogue,spleen,eQTL_catalogue/eQTL/spleen/spleen_eQTL.tsv.gz,eQTL
