Gene,Max Cell Type
APOE,Human mature astrocytes
APP,
MS4A4A,Human Microglia/Macrophage
MS4A6A,Human Microglia/Macrophage
PSEN2,
SPI1,Human Microglia/Macrophage
TREM2,Human Microglia/Macrophage
TYROBP,Human Microglia/Macrophage
ACE,Human Endothelial
ANGPTL3,Human mature astrocytes
APOBEC2,
BPIFB1,
C1QL3,Human Neurons
C1RL,Human Microglia/Macrophage
C1S,Human mature astrocytes
C4A,Human mature astrocytes
C4B,
C4BPA,
CA12,Human mature astrocytes
CABLES2,Human Neurons
CASQ1,Human Neurons
CD177,
CD33,Human Microglia/Macrophage
CD5,Human Neurons
CD72,Human Microglia/Macrophage
CD84,Human Microglia/Macrophage
CD8A,Human Neurons
CDC25B,
CFP,Human Endothelial
CLN5,
CNTN2,Human Oligodendrocytes
CR1,Human Microglia/Macrophage
CR2,
CRADD,
CRLF3,Human Microglia/Macrophage
CST8,
CTSH,
EGFR,Human mature astrocytes
ENGASE,
ERBB3,Human Oligodendrocytes
F13A1,Human Microglia/Macrophage
F13B,
FABP3,Human Neurons
FCGR3B,Human Microglia/Macrophage
FCRL1,
FOLR3,
GAGE2B,
GBA,Human mature astrocytes
GC,
GLCE,
GMPR2,
GRN,Human Microglia/Macrophage
HAVCR2,Human Microglia/Macrophage
HBA1,Human Endothelial
HBB,Human Endothelial
HDGF,
IBSP,Human Neurons
IL17RD,Human mature astrocytes
IL1RAPL2,Human Neurons
IL34,
IZUMO4,Human mature astrocytes
KLRB1,Human Endothelial
LGALS3,Human mature astrocytes
LILRB1,Human Microglia/Macrophage
LILRB5,Human Microglia/Macrophage
LIMD1,
LRP6,
MANF,
NDUFAF1,
PILRA,Human Microglia/Macrophage
PKN1,
PLXDC2,Human Microglia/Macrophage
PNLIPRP2,
PRSS8,
PSIP1,Human Neurons
PTH2,
RUFY1,
SDC3,Human mature astrocytes
SEMA5B,Human Neurons
SHARPIN,Human Endothelial
SIGLEC7,Human Microglia/Macrophage
SIGLEC9,Human Microglia/Macrophage
SIRPA,Human mature astrocytes
SIRT5,Human Neurons
SLC25A18,Human mature astrocytes
SPINK2,
SPP1,Human Microglia/Macrophage
STX17,
THSD1,Human mature astrocytes
TMED9,
TMEM106B,
TNC,Human mature astrocytes
TNFRSF6B,Human Neurons
TREM1,Human Microglia/Macrophage
TREML2,
UMOD,
VCAM1,Human Endothelial
VEGFB,Human mature astrocytes
1/2-SBSRNA4,
A1BG,
A1BG-AS1,Human Neurons
A1CF,
A2LD1,Human mature astrocytes
A2M,Human Microglia/Macrophage
A2ML1,Human mature astrocytes
A2MP1,
A4GALT,Human Endothelial
A4GNT,
AA06,
AAA1,
AAAS,
AACS,Human Neurons
AACSP1,
AADAC,
AADACL2,
AADACL3,
AADACL4,
AADAT,Human mature astrocytes
AAGAB,Human Neurons
AAK1,Human Neurons
AAMP,
AANAT,Human Microglia/Macrophage
AARS,
AARS2,
AARSD1,Human Neurons
AASDH,Human mature astrocytes
AASDHPPT,Human Neurons
AASS,Human mature astrocytes
AATF,
AATK,Human Oligodendrocytes
AATK-AS1,
ABAT,Human Neurons
ABCA1,
ABCA10,Human Neurons
ABCA11P,Human Neurons
ABCA12,
ABCA13,
ABCA17P,
ABCA2,
ABCA3,Human mature astrocytes
ABCA4,Human mature astrocytes
ABCA5,Human Neurons
ABCA6,Human Neurons
ABCA7,
